track,artist,key,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
You And Me,Dave Matthews Band,G,0.6646279306829765,0.6269100853305648,0.8446769622885121,0.09207003089598352,0.43775100401606426,0.06884576098059243,0.3191489361702128,0.6264033840240262,0.06589865841948475,2010.0,2,True
Lights,Ellie Goulding,G#/Ab,0.6880733944954128,0.5488912827991547,0.7290608179485889,0.0407826982492276,0.03263052208835342,0.11235955056179775,0.7922998986828775,0.5454376104646672,0.04042753194442188,2013.0,57,True
Me And My Broken Heart,Rixton,F,0.5555555555555556,0.782947690393385,0.8958532454684172,0.035530381050463446,0.004909638554216868,0.1348314606741573,0.5582573454913882,0.7909565501856034,0.036810539251722,2014.0,20,True
Lass sie ziehn',LOKO BEN,A,0.8695208970438327,0.798951547322905,0.9003638680684809,0.2224510813594233,0.40461847389558236,0.09601634320735443,0.27963525835866265,0.49984324808149283,0.0330084763730365,2019.0,0,False
I Believe I Can Fly - Radio Edit,R. Kelly,G,0.5830784913353722,0.5378886311601095,0.8794204939886312,0.028733264675592177,0.15160642570281124,0.07701736465781409,0.05916919959473151,0.5472913722835347,0.05485527868122235,2014.0,0,False
Keçika Heylere,İsmail Yavuz,A#/Bb,0.7482161060142712,0.6659194865962698,0.8178982846219628,0.03542739443872297,0.032128514056224904,0.3186925434116445,0.8095238095238096,0.5354282053495568,0.07205293562133451,2011.0,0,False
Crying On A Suitcase,Casey James,E,0.40978593272171254,0.6999276825714997,0.8899508694266981,0.03583934088568486,0.14759036144578314,0.1013278855975485,0.502532928064843,0.9040360211365196,0.04229012268132221,2013.0,9,True
Burn It Down,DG,C#/Db,0.7155963302752294,0.8619667339828899,0.8330901956838874,0.25128733264675596,0.3463855421686747,0.13278855975485188,0.2988855116514691,0.6129318061001486,0.05024596105124621,2018.0,0,False
V.S.O.P.,K. Michelle,F#/Gb,0.2823649337410805,0.8059532347295699,0.8882405218237,0.05942327497425335,0.04799196787148595,0.0536261491317671,0.6251266464032422,0.336666772682457,0.03985686584630773,2013.0,4,True
It's The Most Wonderful Time Of The Year,Andy Williams,G,0.24464831804281342,0.5979030946458097,0.8258631386555326,0.03810504634397528,0.7690763052208835,0.11950970377936669,0.7862208713272544,0.9181664114715143,0.028527954911037514,2021.0,21,True
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,A,0.7431192660550459,0.7319353964305398,0.8814326676392172,0.04654994850669413,0.013353413654618474,0.31664964249233907,0.6362715298885512,0.5815905094664527,0.038644200387815165,2012.0,49,True
Wake Me Up!,Avicii,D,0.5423037716615698,0.782947690393385,0.8717742341164042,0.05386199794026777,0.003815261044176707,0.1644535240040858,0.651469098277609,0.5637616825614626,0.04744989531843762,2018.0,54,True
Öp,Tarkan,C#/Db,0.7981651376146788,0.748939494418155,0.8943944195717424,0.11740473738414008,0.03945783132530121,0.05342185903983656,0.8115501519756839,0.5905685323931247,0.04343938079557987,2010.0,0,False
I Like It Like That,Hot Chelle Rae Featuring New Boyz,C#/Db,0.7563710499490316,0.7839479314514799,0.8757818133038214,0.056848609680741506,0.030923694779116467,0.36159346271705817,0.6585612968591693,0.458906007914836,0.03571418664031035,2012.0,20,True
Syni Synin Dashuronte,Bujar Qamili,A#/Bb,0.745158002038736,0.7369366017210148,0.8381709341516173,0.2255406797116375,0.23995983935742973,0.5944841675178754,0.7436676798378927,0.5043322595448287,0.03466003954240505,2012.0,0,False
