danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms
0.435,0.887,-4.07,0.0636,0.000747,0.0327,0.408,199.935,212040.0
0.648,0.767,-5.052,0.0608,0.0219,0.19,0.796,141.906,207400.0
0.662,0.551,-13.65,0.9,0.463,0.204,0.491,104.538,90787.0
0.681,0.864,-7.839,0.0347,0.00504,0.212,0.931,127.079,182453.0
0.863,0.514,-7.243,0.249,0.0419,0.301,0.843,82.985,271160.0
0.7909999999999999,0.624,-11.239,0.393,0.118,0.326,0.644,92.46,43333.0
0.543,0.878,-5.994,0.0472,0.0485,0.125,0.189,144.157,312533.0
0.5770000000000001,0.364,-5.904,0.0262,0.8540000000000001,0.0932,0.759,150.096,52787.0
0.45,0.883,-4.094,0.0524,0.00193,0.293,0.328,93.41,214707.0
0.339,0.273,-9.945,0.0309,0.729,0.152,0.304,96.804,251467.0
0.883,0.815,-7.7189999999999985,0.237,0.0113,0.119,0.63,87.79299999999998,214187.0
0.664,0.877,-4.251,0.0334,0.000542,0.284,0.961,146.804,220947.0
0.211,0.936,-4.242,0.0739,0.0006259999999999,0.188,0.151,145.072,372080.0
0.628,0.602,-11.652,0.046,0.5710000000000001,0.393,0.6809999999999999,138.686,219798.0
0.573,0.897,-3.549,0.0553,0.00473,0.278,0.463,126.034,210653.0
0.68,0.857,-4.132,0.0373,0.0151,0.056,0.794,95.349,285160.0
0.563,0.402,-10.496,0.0668,0.252,0.0886,0.2,115.561,310520.0
0.811,0.563,-9.452,0.0412,0.271,0.132,0.631,127.986,260680.0
0.536,0.943,-5.317,0.108,0.399,0.225,0.622,123.759,240093.0
0.421,0.858,-4.535,0.0963,0.0134,0.067,0.491,173.255,206773.0
0.613,0.618,-13.153,0.818,0.125,0.5489999999999999,0.336,112.029,86587.0
0.6559999999999999,0.503,-10.643,0.0355,0.583,0.11,0.3670000000000001,143.986,377413.0
0.499,0.857,-4.501,0.0374,0.00476,0.102,0.324,83.977,266587.0
0.388,0.335,-11.104,0.0381,0.536,0.0888,0.238,169.31799999999996,307386.0
0.568,0.977,-2.599,0.0596,0.0749,0.0776,0.349,102.888,224867.0
0.585,0.846,-6.15,0.0551,0.7090000000000001,0.187,0.384,90.27,278813.0
0.713,0.91,-5.586,0.282,0.34,0.304,0.51,83.028,268960.0
0.394,0.821,-4.304,0.0404,0.00302,0.186,0.509,82.764,223533.0
0.705,0.816,-5.822,0.0601,0.472,0.359,0.967,155.89600000000004,128027.0
0.7,0.529,-6.816,0.0395,0.0422,0.101,0.386,143.555,233867.0
0.892,0.631,-2.522,0.302,0.244,0.0235,0.838,93.975,196640.0
0.615,0.471,-14.353,0.838,0.757,0.6659999999999999,0.518,102.598,93167.0
0.147,0.398,-9.707,0.0343,0.789,0.21,0.0363,79.196,510053.0
0.769,0.396,-7.507999999999999,0.0395,0.198,0.124,0.406,128.185,233573.0
0.352,0.127,-23.115,0.036,0.993,0.174,0.225,103.751,184387.0
0.1689999999999999,0.914,-4.55,0.0662,2.88e-05,0.393,0.342,94.274,225773.0
0.51,0.55,-5.607,0.0256,0.5720000000000001,0.285,0.562,99.823,147053.0
0.653,0.685,-9.849,0.152,0.031,0.0961,0.513,98.643,164027.0
0.442,0.793,-5.152,0.0347,0.0456,0.328,0.437,80.985,237267.0
0.505,0.419,-6.684,0.0307,0.7240000000000001,0.16,0.421,133.558,223269.0
0.6709999999999999,0.491,-11.78,0.0265,0.745,0.114,0.515,99.979,259200.0
0.524,0.578,-4.563,0.12,0.0132,0.108,0.537,123.669,215267.0
0.358,0.356,-10.091,0.0437,0.926,0.816,0.276,85.051,254680.0
0.267,0.622,-6.315,0.0316,0.129,0.389,0.639,72.765,226720.0
0.79,0.586,-10.013,0.102,0.285,0.486,0.962,118.66,181786.0
0.72,0.226,-18.789,0.955,0.759,0.157,0.511,119.051,204195.0
0.435,0.489,-13.889,0.0259,0.0143,0.092,0.183,94.996,275880.0
0.485,0.622,-9.378,0.0361,0.00635,0.0639,0.63,139.694,245943.0
0.489,0.868,-3.8,0.13,0.00558,0.602,0.658,164.98,190560.0
0.974,0.586,-3.801,0.18,0.12,0.0585,0.689,113.998,260480.0
0.608,0.821,-4.985,0.0576,0.0752,0.11,0.544,128.042,225320.0
0.6990000000000001,0.696,-8.863999999999997,0.187,0.6409999999999999,0.101,0.7070000000000001,89.956,213368.0
0.498,0.486,-7.384,0.0273,0.373,0.113,0.17,147.952,263987.0
0.697,0.859,-5.306,0.19,0.0349,0.0931,0.696,93.78,222387.0
0.391,0.564,-9.85,0.035,0.413,0.111,0.0742,143.859,303387.0
0.542,0.946,-4.279,0.378,0.0346,0.323,0.509,146.7,274467.0
0.782,0.63,-5.683,0.162,0.00161,0.151,0.295,78.516,256800.0
0.69,0.802,-4.117,0.273,0.127,0.244,0.609,92.995,277720.0
0.562,0.658,-8.072,0.0314,0.174,0.102,0.268,127.81,315360.0
0.67,0.332,-9.271,0.0465,0.918,0.113,0.6809999999999999,93.182,143573.0
0.858,0.484,-7.448,0.277,0.0241,0.123,0.329,99.992,202720.0
0.626,0.856,-4.114,0.0463,0.0081,0.13,0.699,112.078,190560.0
0.628,0.9,-3.719,0.0408,0.0775,0.0454,0.611,108.745,217987.0
0.231,0.0562,-21.79,0.0492,0.978,0.267,0.0662,105.584,303200.0
0.482,0.154,-15.173,0.0506,0.925,0.121,0.441,116.479,314400.0
0.443,0.5,-7.933,0.0312,0.118,0.304,0.45,112.552,277413.0
0.149,0.0238,-21.771,0.0402,0.984,0.0837,0.0356,70.61399999999998,317333.0
0.42,0.631,-5.169,0.0356,0.406,0.272,0.364,200.038,379627.0
0.435,0.0729,-22.405,0.0453,0.976,0.186,0.373,96.493,219867.0
0.63,0.6579999999999999,-6.037000000000001,0.033,0.232,0.0906,0.964,168.139,199387.0
0.423,0.922,-2.602,0.0411,0.017,0.102,0.567,156.063,204853.0
0.6729999999999999,0.424,-11.607,0.0531,0.922,0.124,0.545,97.11,190427.0
0.664,0.781,-6.547,0.0339,0.00103,0.0867,0.593,110.0,227240.0
0.454,0.358,-14.722,0.0272,0.468,0.394,0.244,74.79899999999998,193467.0
0.42,0.899,-10.063,0.0546,1.2e-05,0.0815,0.476,110.958,207227.0
0.406,0.0486,-21.291,0.0326,0.983,0.364,0.267,97.73,250125.0
0.532,0.807,-4.301,0.057,0.0584,0.114,0.759,87.183,217440.0
0.528,0.56,-8.296,0.0268,0.151,0.3,0.372,99.037,212200.0
0.5529999999999999,0.6829999999999999,-11.618,0.404,0.139,0.327,0.638,87.27600000000002,222373.0
0.186,0.26,-15.407,0.0322,0.914,0.0964,0.0626,79.473,176707.0
0.413,0.6579999999999999,-6.2,0.037,3.2e-05,0.0911,0.509,172.005,183187.0
0.36,0.435,-12.014,0.0336,0.157,0.113,0.251,103.75,64547.0
0.409,0.42,-7.764,0.041,0.00488,0.146,0.0412,118.711,377400.0
0.661,0.796,-4.776,0.0833,0.0347,0.396,0.657,87.982,210867.0
0.402,0.71,-8.682,0.109,0.269,0.228,0.322,84.51,384267.0
0.644,0.892,-6.127999999999999,0.0655,0.0189,0.0312,0.598,106.024,181173.0
