track,artist,key,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
If U Stay Ready,Suga Free,E,0.7160367722165474,0.6877658243682763,0.8845288006774202,0.21910695742471442,0.019477911646586347,0.03847695390781562,0.4485887096774194,0.448756644018431,0.2029379800081546,1997.0,13,True
Money Don't Matter 2 Night,Prince And The N.P.G.,C#/Db,0.8416751787538304,0.5686765073805354,0.7869224891055167,0.03613707165109034,0.02921686746987952,0.0596192384769539,0.7086693548387096,0.5059285087537958,0.20264778048147006,1992.0,13,True
Ugly in the Morning,Faith No More,E,0.39632277834525026,0.9779834876157119,0.8231272847435926,0.0778816199376947,0.002098393574297189,0.2354709418837675,0.3235887096774194,0.5022349628118726,0.13033948991629196,1995.0,0,False
เมื่อรักฉันเกิด,Silly Fools,C#/Db,0.5832482124616957,0.7147860895671754,0.7521221008281874,0.043821391484942886,0.023694779116465864,0.15831663326653306,0.744959677419355,0.4226996880699385,0.2040987781148929,1998.0,0,False
I Got A Thang 4 Ya!,Lo-Key?,F#/Gb,0.7722165474974463,0.649737302977233,0.8361180528305006,0.0474558670820353,0.30823293172690763,0.06072144288577154,0.7943548387096775,0.6076618108481834,0.24199883629989802,1993.0,20,True
Groovin',UB40,D,0.8345250255362614,0.560670502877158,0.7265123195439809,0.05597092419522326,0.0020481927710843378,0.04218436873747494,0.9112903225806451,0.4548941780711789,0.1615453705195007,1991.0,6,True
Om Namami,Hariharan,C,0.7150153217568946,0.8989241931448587,0.9088787459468393,0.05327102803738317,0.2389558232931727,0.20541082164328653,0.3074596774193548,0.5375763172039306,0.220188890871919,1996.0,0,False
Kapitel 01 - Der Hufschmied (Folge 008),Bibi und Tina,B,0.7405515832482124,0.3905429071803853,0.6137466696957807,0.952232606438214,0.5823293172690763,0.38176352705410815,0.6078629032258064,0.5908065620161983,0.07226621163380882,1992.0,0,False
Beth Yw'R Haf Imi?,Cor Y Cymuned Ewropeaidd,F,0.1848825331971399,0.09241931448586442,0.51052272868089,0.04548286604361371,0.996987951807229,0.07264529058116231,0.039717741935483865,0.4097447134975217,0.1698356454980622,1993.0,0,False
Vtoroe prishestvie,Kantor,E,0.5730337078651685,0.7548161120840632,0.8291786282244575,0.030425752855659398,0.0007821285140562249,0.23747494989979956,0.6179435483870968,0.41873050437115544,0.1708063629148221,1994.0,0,False
Vzpomínka,Soubor osady Údolí děsu,G,0.6823289070480081,0.5006254691018264,0.7401226791135713,0.03686396677050882,0.6475903614457832,0.05671342685370741,0.969758064516129,0.49921672937425643,0.1663242312251789,1993.0,0,False
Kapitel 1.6,Howard Phillips Lovecraft,G,0.6853932584269662,0.3375031273455092,0.388339288295917,0.9937694704049843,0.13755020080321276,0.125250501002004,0.2247983870967742,0.3930961929831815,0.04999992745011833,1997.0,0,False
Luto En Tlacamama,Los Donny's De Guerrero,D,0.7507660878447394,0.5176382286715037,0.8153204320617942,0.04205607476635514,0.2530120481927711,0.04519038076152304,0.9395161290322581,0.5146708196088701,0.1668966497915642,1998.0,0,False
Kapitel 1.9,Howard Phillips Lovecraft,C,0.5638406537282942,0.2974731048286215,0.43018236642640306,0.9501557632398754,0.8192771084337349,0.21242484969939876,0.27217741935483875,0.49465951846083883,0.05073195575618016,1997.0,0,False
Kapitel 11 - Der Pferdegeburtstag (Folge 027),Bibi und Tina,C#/Db,0.6036772216547497,0.4585939454590944,0.732708234370805,0.9646936656282451,0.6445783132530121,0.3016032064128256,0.48286290322580644,0.3541485779388728,0.06223691599159002,1996.0,0,False
It Must Be Love,Ty Herndon,E,0.6353421859039836,0.7838378784088067,0.9069167062516783,0.03551401869158879,0.25,0.12124248496993986,0.7328629032258064,0.5327067168327384,0.14872870842347657,1999.0,10,True
So Strung Out - The Distance & Riddick Edit,C-Block,G,0.8161389172625128,0.7117838378784089,0.8353745430512818,0.05036344755970924,0.046887550200803214,0.6783567134268537,0.5181451612903226,0.5512617318320264,0.284899757828495,1996.0,0,False
