track,artist,key,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,A,0.44117647058823534,0.8873975770371486,0.8985738090570475,0.065770423991727,0.0007487057889864135,0.013733729630009225,0.4129554655870445,0.9165906413177525,0.09658128516434707,2007.0,20,True
Boyfriend #2,Pleasure P,G#/Ab,0.6572008113590264,0.7667521238626652,0.8745099000196039,0.06287487073422958,0.021986685103236727,0.17495131700317723,0.805668016194332,0.6505599897308474,0.09429128417727767,2009.0,18,True
133 - Auf vier Pfoten zur Millionenbeute - Teil 31,TKKG,A#/Bb,0.6713995943204869,0.549590308148595,0.6638159184473632,0.9307135470527405,0.46485874464636606,0.18929998975094803,0.49696356275303644,0.4792485180787516,0.03673872273220807,2002.0,0,False
Ten Rounds With Jose Cuervo,Tracy Byrd,D,0.6906693711967546,0.864273865178706,0.8062144677514212,0.03588417786970011,0.005058952335390074,0.1974992313211028,0.9423076923076924,0.5825864511367127,0.08197907412891127,2002.0,20,True
Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",E,0.8752535496957404,0.5123912934197958,0.8208194471672221,0.25749741468459153,0.04206703239605602,0.2887157937890745,0.853238866396761,0.38044001485359585,0.12575905636166224,2006.0,28,True
Rinderlein 1,EAV (Erste Allgemeine Verunsicherung),F#/Gb,0.8022312373225152,0.622982958829739,0.7228974710841011,0.40641158221303003,0.1184727538452334,0.31433842369580817,0.6518218623481782,0.42387761370565125,0.013318527292468662,2007.0,0,False
The Adventure,Angels & Airwaves,B,0.5507099391480731,0.8783491680490624,0.8514261909429524,0.048810754912099276,0.04869354700268638,0.10833247924566979,0.19129554655870445,0.6608795712628767,0.1461780673181325,2006.0,14,True
Les Oques Van Descalces,André,C,0.5851926977687628,0.3615844769516915,0.8536316408547343,0.027094105480868668,0.8574295342209831,0.07574049400430462,0.7682186234817814,0.6881065791343656,0.017984404303622546,2008.0,0,False
Call Me When You're Sober,Evanescence,G,0.4563894523326572,0.8833760619313326,0.8979856890805724,0.054188210961737336,0.0019364583313566744,0.28051655221891975,0.3319838056680162,0.42823283469873336,0.09789754219721647,2007.0,22,True
I Need You Now,Smokie Norful,F,0.34381338742393514,0.2700950082943749,0.7546069398157224,0.03195449844881076,0.7319273636408625,0.1360049195449421,0.3076923076923077,0.4437924347519129,0.11603987760339553,2003.0,3,True
M.V.P. - Remix #2,Big L,E,0.8955375253549697,0.8150103051324585,0.8091550676337973,0.2450879007238883,0.011344101038042509,0.10218304806805371,0.6376518218623481,0.4024820175217417,0.09764090415556215,2007.0,0,False
