danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms
0.652,0.627,-7.313,0.0894,0.436,0.0674,0.315,137.867,340533.0
0.675,0.549,-14.208,0.0396,0.0325,0.11,0.782,120.047,211987.0
0.545,0.783,-4.261,0.0345,0.00489,0.132,0.551,174.084,193733.0
0.853,0.799,-3.992,0.216,0.403,0.094,0.276,110.012,174545.0
0.5720000000000001,0.5379999999999999,-5.2410000000000005,0.0279,0.151,0.0754,0.0584,120.455,284800.0
0.7340000000000001,0.6659999999999999,-8.91,0.0344,0.032,0.312,0.799,117.844,371592.0
0.402,0.7,-4.613,0.0348,0.147,0.0992,0.496,198.972,221387.0
0.7020000000000001,0.862,-8.004,0.244,0.345,0.13,0.295,134.90200000000002,261538.0
0.277,0.806,-4.715,0.0577,0.0478,0.0525,0.617,74.098,209107.0
0.24,0.598,-8.435,0.037,0.766,0.117,0.776,202.082,151933.0
0.729,0.732,-5.121,0.0452,0.0133,0.31,0.628,128.004,202987.0
0.532,0.783,-5.697,0.0523,0.0038,0.161,0.643,124.08,247427.0
0.7829999999999999,0.7490000000000001,-4.348,0.114,0.0393,0.0523,0.8009999999999999,129.98,227187.0
0.742,0.784,-5.458,0.0552,0.0308,0.354,0.65,101.002,188200.0
0.731,0.737,-7.701,0.219,0.239,0.5820000000000001,0.7340000000000001,111.0,182880.0
0.655,0.918,-4.82,0.371,0.5479999999999999,0.366,0.669,86.51,156308.0
0.551,0.836,-3.838,0.0524,0.00502,0.0425,0.758,185.063,220573.0
0.652,0.859,-3.746,0.0358,0.0639,0.0777,0.491,109.971,188707.0
0.5479999999999999,0.77,-4.817,0.0357,0.0283,0.8029999999999999,0.705,119.944,167113.0
0.825,0.84,-3.651,0.227,0.245,0.341,0.52,115.062,96333.0
0.739,0.756,-4.828,0.0394,0.0136,0.37,0.523,110.028,231387.0
0.523,0.961,-4.815,0.069,7.219999999999999e-05,0.1669999999999999,0.539,99.979,241574.0
0.82,0.568,-8.23,0.411,0.0256,0.0952,0.535,152.279,210787.0
0.813,0.528,-6.305,0.313,0.0715,0.125,0.131,79.532,207039.0
0.715,0.823,-5.313,0.0495,0.133,0.361,0.91,151.956,161747.0
0.473,0.824,-3.68,0.163,0.482,0.605,0.374,77.888,222929.0
0.696,0.546,-6.55,0.0414,0.00379,0.332,0.787,130.002,210267.0
0.752,0.716,-5.2,0.0325,0.254,0.243,0.553,117.007,206760.0
0.435,0.837,-8.126,0.449,0.00676,0.117,0.778,124.913,216893.0
0.248,0.718,-11.835,0.14,0.234,0.334,0.184,142.835,305455.0
0.787,0.673,-4.583,0.159,0.264,0.0904,0.779,110.962,237893.0
0.732,0.688,-6.712999999999999,0.174,0.197,0.525,0.299,149.75,191162.0
0.81,0.6729999999999999,-12.878,0.0375,0.00755,0.263,0.922,127.01,279380.0
0.83,0.546,-5.716,0.295,0.227,0.112,0.535,182.973,262494.0
0.604,0.436,-8.32,0.188,0.0544,0.162,0.239,107.978,361280.0
0.8340000000000001,0.696,-9.62,0.0932,0.194,0.105,0.634,133.999,237076.0
0.585,0.711,-4.912,0.399,0.25,0.317,0.349,80.06,313511.0
0.159,0.0143,-32.069,0.0392,0.98,0.0996,0.0359,141.613,241027.0
0.958,0.597,-7.092,0.111,0.0457,0.138,0.619,127.931,180453.0
0.691,0.632,-7.598,0.0513,0.122,0.0646,0.488,169.982,205666.0
0.734,0.892,-1.856,0.125,0.0648,0.58,0.605,138.031,303533.0
0.7509999999999999,0.654,-5.931,0.383,0.265,0.478,0.637,165.09900000000005,267645.0
0.43,0.412,-5.372,0.0281,0.2,0.324,0.0508,90.872,157673.0
0.541,0.4370000000000001,-11.684,0.0244,0.153,0.096,0.648,91.407,220627.0
0.75,0.9,-1.055,0.0456,0.0104,0.0788,0.662,122.056,205640.0
0.502,0.858,-5.617000000000001,0.037,0.00309,0.422,0.482,130.04399999999998,227309.0
0.8640000000000001,0.916,-5.448,0.0917,0.163,0.0733,0.757,120.02,166904.0
0.612,0.826,-5.734,0.0434,0.0334,0.13,0.289,100.021,181222.0
0.6940000000000001,0.622,-9.138,0.0461,0.129,0.057,0.502,124.997,269493.0
0.778,0.7040000000000001,-11.618,0.078,0.5539999999999999,0.237,0.954,139.987,223250.0
0.683,0.796,-4.179,0.0285,0.111,0.197,0.531,90.031,201893.0
0.634,0.865,-10.974,0.0857,0.7879999999999999,0.284,0.708,99.823,197616.0
0.568,0.939,-5.437,0.053,0.00372,0.228,0.471,115.006,133696.0
0.299,0.676,-3.187,0.051,0.273,0.113,0.298,167.498,221373.0
0.598,0.504,-9.874,0.0731,0.186,0.34,0.252,163.954,203507.0
0.518,0.674,-12.368,0.404,0.504,0.626,0.695,163.705,61857.0
0.452,0.566,-5.964,0.0292,0.175,0.0888,0.407,138.154,201000.0
0.579,0.882,-7.327000000000001,0.0738,0.0072099999999999,0.369,0.0338,140.048,383328.0
0.663,0.91,-1.629,0.317,0.0719,0.244,0.342,144.993,229227.0
0.682,0.967,-5.796,0.0689,0.0168,0.39,0.664,135.06,97040.0
0.859,0.599,-5.254,0.0614,0.000362,0.13,0.319,140.005,252520.0
0.722,0.958,-3.617,0.0912,0.00726,0.375,0.952,127.008,206120.0
0.658,0.671,-12.21,0.0363,0.0933,0.115,0.166,100.966,202093.0
0.813,0.58,-6.724,0.0746,0.0405,0.349,0.443,100.045,221972.0
0.733,0.389,-8.468,0.0738,0.0513,0.141,0.244,157.878,159670.0
0.639,0.859,-2.758,0.147,0.135,0.129,0.566,93.132,221379.0
0.965,0.414,-6.408,0.0713,0.189,0.0767,0.728,121.032,214648.0
0.7829999999999999,0.59,-6.608,0.0433,0.0633,0.0865,0.333,84.035,110520.0
0.789,0.72,-5.652,0.218,0.223,0.129,0.664,122.031,166794.0
0.811,0.645,-8.008,0.104,0.184,0.103,0.474,129.967,173761.0
0.544,0.524,-7.914,0.0621,0.136,0.106,0.117,81.982,129429.0
0.767,0.345,-12.308,0.0565,0.908,0.113,0.863,112.979,271517.0
0.486,0.57,-18.657,0.056,0.466,0.264,0.738,159.007,85726.0
0.554,0.768,-5.812,0.127,0.0126,0.122,0.324,99.679,215107.0
0.307,0.528,-11.337,0.108,0.972,0.222,0.58,174.795,70395.0
0.451,0.484,-5.788,0.0251,0.551,0.108,0.434,80.128,178174.0
0.808,0.771,-5.719,0.0645,0.0413,0.18,0.471,161.94,251859.0
